iter	RMSE
0	114.9416367
1	112.4628618
2	110.1959874
3	108.0663946
4	106.0920344
5	104.2549213
6	102.5488658
7	100.9787594
8	99.49312688
9	98.07925428
10	96.7721968
11	95.54890434
12	94.42183795
13	93.35958139
14	92.35889465
15	91.42438318
16	90.55489635
17	89.6934294
18	88.93617079
19	88.20824296
20	87.49535096
21	86.84734019
22	86.2245732
23	85.64174242
24	85.08864717
25	84.5804903
26	84.05547442
27	83.52960861
28	83.05723739
29	82.65610343
30	82.26264813
31	81.85987068
32	81.50273791
33	81.14036309
34	80.77909855
35	80.43602847
36	80.14925447
37	79.85607881
38	79.55713352
39	79.28377295
40	79.01552321
41	78.78100104
42	78.54471487
43	78.30729672
44	78.09027655
45	77.8773379
46	77.6857823
47	77.48251264
48	77.2949109
49	77.11719992
50	76.94828384
51	76.76669891
52	76.6175096
53	76.46577904
54	76.32779295
55	76.16603721
56	76.0305483
57	75.89158756
58	75.76757302
59	75.64643453
60	75.50550371
61	75.39449719
62	75.28641638
63	75.17611359
64	75.07430638
65	74.97741993
66	74.88114539
67	74.79282114
68	74.71043315
69	74.61958689
70	74.54724925
71	74.46929702
72	74.38959433
73	74.31870954
74	74.24895641
75	74.17879002
76	74.10922822
77	74.03411406
78	73.97163616
79	73.91157404
80	73.85095546
81	73.7930906
82	73.74299778
83	73.68022021
84	73.62929397
85	73.57896753
86	73.53220614
87	73.48335433
88	73.42790258
89	73.38600815
90	73.34309301
91	73.30323799
92	73.26230719
93	73.22492115
94	73.17605889
95	73.13824877
96	73.08457128
97	73.04453871
98	73.00619503
99	72.97421013
100	72.94054933
101	72.90801029
102	72.87323712
103	72.84468609
104	72.81456639
105	72.78703661
106	72.76479127
107	72.74061776
108	72.70583167
109	72.67325638
110	72.64440304
111	72.60445476
112	72.58132754
113	72.55705543
114	72.53032902
115	72.50656142
116	72.48596841
117	72.46790566
118	72.44876929
119	72.42018753
120	72.40242146
121	72.38414448
122	72.36774202
123	72.34834841
124	72.33062204
125	72.31228175
126	72.2969364
127	72.28221399
128	72.25850041
129	72.24012501
130	72.21373495
131	72.19224644
132	72.17777399
133	72.16316958
134	72.14988266
135	72.13535274
136	72.12185585
137	72.10998727
138	72.09793482
139	72.0855626
140	72.07155797
141	72.05540905
142	72.04154598
143	72.03087298
144	72.01931392
145	71.99612656
146	71.98644129
147	71.96813252
148	71.94433267
149	71.93463465
150	71.92418079
151	71.91446525
152	71.90518409
153	71.89614735
154	71.88810738
155	71.87791276
156	71.86840777
157	71.8478544
158	71.839567
159	71.83053925
160	71.82287663
161	71.81473254
162	71.80635447
163	71.79850489
164	71.78479554
165	71.77772542
166	71.7718058
167	71.7643644
168	71.75662586
169	71.74757023
170	71.73862946
171	71.72552549
172	71.71788661
173	71.71277146
174	71.70189906
175	71.69608549
176	71.68449389
177	71.67900326
178	71.67303963
179	71.66738641
180	71.66101607
181	71.65588655
182	71.64951468
183	71.64349581
184	71.63316704
185	71.62768288
186	71.62156498
187	71.61587146
188	71.61018158
189	71.60420429
190	71.587977
191	71.58339226
192	71.57768129
193	71.57280139
194	71.56625139
195	71.55969944
196	71.55424739
197	71.54988469
198	71.54342504
199	71.53473646
200	71.52629374
201	71.52003064
202	71.51533449
203	71.51028574
204	71.50511365
205	71.48790749
206	71.47990013
207	71.47511171
208	71.47111754
209	71.4669018
210	71.46366236
211	71.45071024
212	71.44727957
213	71.44161244
214	71.42818433
215	71.42320033
216	71.41832079
217	71.41020689
218	71.40739378
219	71.39495555
220	71.3912117
221	71.38683833
222	71.38311053
223	71.37892157
224	71.36915462
225	71.36604598
226	71.36135086
227	71.35778844
228	71.3524635
229	71.3484935
230	71.34469105
231	71.34001501
232	71.33590448
233	71.3310908
234	71.32178713
235	71.31803776
236	71.31246692
237	71.3085211
238	71.30270061
239	71.29536542
240	71.29147226
241	71.28729442
242	71.28361345
243	71.27944531
244	71.27581062
245	71.27175289
246	71.2664316
247	71.26351978
248	71.26095852
249	71.25838929
250	71.25469645
251	71.25051222
252	71.24693322
253	71.24339342
254	71.23960829
255	71.23284514
256	71.23032659
257	71.2267916
258	71.21875451
259	71.21392212
260	71.21014644
261	71.20693299
262	71.2030115
263	71.20006303
264	71.19656231
265	71.19064948
266	71.18735122
267	71.18195782
268	71.17768634
269	71.17364204
270	71.16788107
271	71.16531756
272	71.15417062
273	71.15095256
274	71.14277713
275	71.13945367
276	71.13636546
277	71.13379046
278	71.12987427
279	71.12399599
280	71.12035564
281	71.11558057
282	71.11245572
283	71.10838974
284	71.10381128
285	71.10020411
286	71.09711946
287	71.0939103
288	71.09093109
289	71.08685293
290	71.08159296
291	71.07001776
292	71.06686979
293	71.06417257
294	71.06137283
295	71.05855615
296	71.05478356
297	71.05140676
298	71.04773617
299	71.04310828
300	71.03399099
301	71.02552957
302	71.02271948
303	71.01934121
304	71.01630013
305	71.01131948
306	71.00764423
307	71.00012499
308	70.99615242
309	70.98963975
310	70.98606545
311	70.98297364
312	70.9790262
313	70.97576929
314	70.97319466
315	70.96973308
316	70.96603812
317	70.96222607
318	70.95601358
319	70.95251452
320	70.94684841
321	70.94332754
322	70.93860996
323	70.93529121
324	70.92931518
325	70.92550432
326	70.91992627
327	70.91650941
328	70.91299938
329	70.91051342
330	70.90718561
331	70.90343586
332	70.89763213
333	70.89427676
334	70.88651501
335	70.88431652
336	70.88010601
337	70.87579589
338	70.87142572
339	70.86684043
340	70.86328376
341	70.86025647
342	70.85757985
343	70.85398169
344	70.85091379
345	70.84843005
346	70.8433583
347	70.8385225
348	70.83528813
349	70.82898901
350	70.82545682
351	70.81635673
352	70.81356954
353	70.81010074
354	70.80721624
355	70.80244017
356	70.7953628
357	70.79205396
358	70.78898583
359	70.78615914
360	70.78400095
361	70.77964102
362	70.77508047
363	70.77274662
364	70.76928132
365	70.76459791
366	70.76221747
367	70.75959649
368	70.7557821
369	70.75176146
370	70.7489171
371	70.74152466
372	70.73740357
373	70.73552154
374	70.73201061
375	70.72799586
376	70.72606703
377	70.72239422
378	70.71855372
379	70.71657318
380	70.71150717
381	70.70770053
382	70.7027004
383	70.69923244
384	70.69605754
385	70.68905401
386	70.68633062
387	70.68189774
388	70.67913179
389	70.67609514
390	70.67219341
391	70.66977291
392	70.66588257
393	70.66227621
394	70.65964131
395	70.65604338
396	70.65274081
397	70.64627219
398	70.64191437
399	70.63957617
400	70.63423377
401	70.63038838
402	70.62820147
403	70.62510725
404	70.62164107
405	70.6183015
406	70.61482977
407	70.6120987
408	70.60984677
409	70.60675576
410	70.60392224
411	70.60132665
412	70.59865442
413	70.59517118
414	70.59314373
415	70.59023522
416	70.58640515
417	70.58294911
418	70.57984361
419	70.5773314
420	70.57163196
421	70.56853502
422	70.56350782
423	70.55972503
424	70.55595835
425	70.55348386
426	70.54838231
427	70.54538444
428	70.54152011
429	70.53820386
430	70.53534035
431	70.53242617
432	70.52879239
433	70.52609822
434	70.52124256
435	70.51853685
436	70.51500262
437	70.51101243
438	70.50771855
439	70.50503578
440	70.50180481
441	70.4989141
442	70.4948123
443	70.49268585
444	70.48991016
445	70.4852963
446	70.48233481
447	70.47864396
448	70.47502166
449	70.47261373
450	70.469697
451	70.46578338
452	70.46204251
453	70.45856508
454	70.45503603
455	70.4515872
456	70.44728983
457	70.44435472
458	70.43979294
459	70.43713118
460	70.43450605
461	70.43168256
462	70.42852115
463	70.42576812
464	70.42243743
465	70.41959901
466	70.4165193
467	70.412333
468	70.40772345
469	70.40502487
470	70.40269386
471	70.40054441
472	70.39692003
473	70.39406876
474	70.3906971
475	70.38829799
476	70.3857127
477	70.38315529
478	70.38029101
479	70.37825292
480	70.37486245
481	70.3718747
482	70.36870643
483	70.36478729
484	70.36133616
485	70.35851723
486	70.35649164
487	70.35433194
488	70.35042494
489	70.34721358
490	70.34494245
491	70.34134028
492	70.33726775
493	70.33535394
494	70.33224588
495	70.32932157
496	70.32549525
497	70.3219659
498	70.31961893
499	70.31474009
500	70.31259381
501	70.30873526
502	70.30483767
503	70.29954673
504	70.29714803
505	70.29446938
506	70.29190022
507	70.28782841
508	70.28389659
509	70.28108378
510	70.27872282
511	70.27589575
512	70.27296285
513	70.27008793
514	70.26700723
515	70.26373648
516	70.2605739
517	70.25632919
518	70.25441042
519	70.25087664
520	70.24803513
521	70.24446708
522	70.24120838
523	70.2384987
524	70.23527037
525	70.2308726
526	70.22713066
527	70.22451062
528	70.22067068
529	70.21651135
530	70.21354776
531	70.21158072
532	70.20924897
533	70.20617357
534	70.20354264
535	70.20036212
536	70.19811549
537	70.19481121
538	70.19076218
539	70.18787615
540	70.18487114
541	70.17994114
542	70.17749747
543	70.17403425
544	70.17081054
545	70.16728103
546	70.16459554
547	70.16200892
548	70.15904568
549	70.15640682
550	70.1530985
551	70.15038162
552	70.14690528
553	70.14374487
554	70.14094332
555	70.13838398
556	70.13569584
557	70.1320326
558	70.12903275
559	70.12648071
560	70.12320386
561	70.1203601
562	70.11653242
563	70.11413417
564	70.11106962
565	70.10817831
566	70.1044428
567	70.10247894
568	70.09916161
569	70.09619568
570	70.09235105
571	70.08901506
572	70.08646284
573	70.08391141
574	70.08089081
575	70.07754867
576	70.07454067
577	70.07141922
578	70.06840859
579	70.06527583
580	70.06234797
581	70.05847688
582	70.05621755
583	70.05292187
584	70.05092418
585	70.04761914
586	70.04493777
587	70.04168477
588	70.0395101
589	70.03718288
590	70.03393741
591	70.03135103
592	70.02673719
593	70.02460275
594	70.02230098
595	70.01802736
596	70.01598977
597	70.0125955
598	70.00955492
599	70.0065036
600	70.00364589
601	70.00266005
602	69.99825049
603	69.99602261
604	69.99287532
605	69.9894888
606	69.98682086
607	69.98389772
608	69.98101304
609	69.97713841
610	69.97450083
611	69.97137915
612	69.96734015
613	69.96417167
614	69.96189718
615	69.95929363
616	69.95666715
617	69.95332876
618	69.95070161
619	69.94773647
620	69.94483749
621	69.94154943
622	69.93851116
623	69.93598848
624	69.93332006
625	69.93090822
626	69.92889268
627	69.92540509
628	69.92229874
629	69.91949164
630	69.91695394
631	69.91444891
632	69.910824
633	69.90880579
634	69.90581242
635	69.90345672
636	69.90063175
637	69.89693245
638	69.8936269
639	69.89112095
640	69.88801908
641	69.88518387
642	69.88240728
643	69.87977877
644	69.87689369
645	69.87437826
646	69.87117654
647	69.86860433
648	69.86531247
649	69.86242899
650	69.86044069
651	69.8566734
652	69.85346292
653	69.85148064
654	69.84811191
655	69.84500058
656	69.84180467
657	69.83798029
658	69.83496501
659	69.8310693
660	69.82869572
661	69.82492075
662	69.8229347
663	69.82111522
664	69.81744064
665	69.81468864
666	69.81117441
667	69.80740695
668	69.80505954
669	69.80271392
670	69.79999226
671	69.79808686
672	69.79615591
673	69.79339316
674	69.79058904
675	69.78753826
676	69.78517551
677	69.7815047
678	69.77857763
679	69.77585807
680	69.77420942
681	69.77195733
682	69.76926442
683	69.76524088
684	69.76230186
685	69.75912395
686	69.75699366
687	69.75462165
688	69.75233224
689	69.74923179
690	69.74592227
691	69.74162849
692	69.73966311
693	69.73745932
694	69.73437687
695	69.73166617
696	69.72945509
697	69.72645659
698	69.72450537
699	69.72150922
700	69.71861456
701	69.71617439
702	69.71396924
703	69.71114886
