iter	Passed	Remaining
0	148	148313
1	159	79356
2	168	56074
3	177	44306
4	187	37338
5	197	32676
6	206	29238
7	215	26745
8	224	24667
9	231	22870
10	236	21295
11	242	19963
12	247	18784
13	252	17786
14	257	16924
15	263	16176
16	268	15511
17	273	14917
18	278	14388
19	284	13923
20	289	13486
21	294	13082
22	299	12728
23	305	12403
24	310	12100
25	323	12109
26	330	11920
27	338	11750
28	346	11607
29	354	11464
30	364	11393
31	371	11239
32	376	11046
33	382	10861
34	388	10721
35	394	10554
36	399	10407
37	408	10329
38	414	10209
39	420	10081
40	424	9933
41	429	9791
42	434	9668
43	439	9539
44	443	9417
45	449	9321
46	455	9233
47	460	9137
48	466	9048
49	471	8954
50	476	8864
51	481	8785
52	487	8704
53	492	8621
54	497	8547
55	502	8475
56	509	8426
57	515	8372
58	521	8317
59	528	8278
60	534	8222
61	540	8170
62	545	8115
63	551	8068
64	557	8022
65	563	7976
66	569	7923
67	574	7870
68	579	7819
69	584	7763
70	588	7705
71	594	7665
72	599	7618
73	606	7590
74	615	7595
75	622	7566
76	632	7587
77	638	7544
78	644	7513
79	648	7462
80	653	7412
81	659	7379
82	664	7336
83	668	7294
84	674	7257
85	678	7215
86	683	7169
87	688	7140
88	694	7103
89	698	7062
90	703	7024
91	708	6990
92	712	6953
93	717	6914
94	722	6884
95	727	6847
96	731	6810
97	736	6778
98	741	6744
99	745	6705
100	749	6671
101	754	6641
102	759	6610
103	763	6577
104	768	6546
105	772	6518
106	777	6487
107	781	6456
108	786	6431
109	791	6403
110	795	6372
111	800	6346
112	804	6317
113	809	6290
114	813	6260
115	818	6236
116	823	6216
117	828	6191
118	833	6167
119	838	6151
120	843	6130
121	849	6111
122	854	6095
123	860	6078
124	866	6063
125	871	6042
126	876	6023
127	882	6009
128	888	5996
129	893	5976
130	898	5959
131	904	5944
132	908	5923
133	913	5906
134	919	5888
135	923	5869
136	928	5850
137	933	5831
138	937	5808
139	941	5785
140	946	5766
141	950	5745
142	954	5723
143	959	5706
144	964	5688
145	969	5668
146	973	5646
147	977	5629
148	982	5610
149	986	5591
150	991	5572
151	996	5556
152	1000	5540
153	1005	5524
154	1010	5508
155	1014	5490
156	1019	5473
157	1023	5456
158	1028	5440
159	1032	5422
160	1037	5405
161	1041	5389
162	1046	5374
163	1050	5356
164	1055	5340
165	1059	5325
166	1064	5308
167	1068	5291
168	1072	5273
169	1077	5260
170	1081	5245
171	1086	5228
172	1090	5213
173	1095	5199
174	1099	5185
175	1103	5168
176	1108	5154
177	1112	5138
178	1116	5123
179	1121	5107
180	1125	5094
181	1129	5078
182	1134	5063
183	1138	5050
184	1143	5037
185	1147	5022
186	1151	5007
187	1156	4995
188	1160	4981
189	1165	4967
190	1169	4953
191	1174	4942
192	1178	4927
193	1182	4913
194	1187	4903
195	1192	4890
196	1196	4876
197	1200	4862
198	1205	4851
199	1209	4838
200	1213	4825
201	1218	4813
202	1223	4802
203	1227	4789
204	1232	4779
205	1237	4770
206	1242	4758
207	1246	4746
208	1250	4733
209	1255	4723
210	1259	4710
211	1264	4698
212	1268	4687
213	1273	4675
214	1277	4664
215	1281	4652
216	1286	4643
217	1291	4633
218	1296	4623
219	1301	4614
220	1306	4604
221	1310	4594
222	1316	4585
223	1320	4576
224	1325	4566
225	1330	4556
226	1335	4547
227	1340	4537
228	1344	4528
229	1349	4519
230	1354	4509
231	1359	4499
232	1363	4488
233	1369	4482
234	1373	4471
235	1377	4460
236	1382	4451
237	1387	4441
238	1391	4430
239	1395	4419
240	1400	4411
241	1404	4400
242	1409	4389
243	1414	4381
244	1418	4371
245	1422	4361
246	1427	4351
247	1432	4342
248	1435	4330
249	1440	4320
250	1445	4312
251	1449	4303
252	1454	4294
253	1459	4285
254	1463	4276
255	1467	4265
256	1471	4254
257	1475	4244
258	1480	4236
259	1485	4228
260	1490	4219
261	1495	4211
262	1499	4201
263	1504	4194
264	1508	4184
265	1513	4175
266	1517	4165
267	1521	4156
268	1526	4147
269	1530	4137
270	1534	4128
271	1538	4118
272	1543	4110
273	1547	4100
274	1551	4091
275	1556	4082
276	1560	4073
277	1564	4063
278	1568	4053
279	1572	4044
280	1577	4036
281	1581	4026
282	1585	4016
283	1590	4009
284	1594	4001
285	1600	3995
286	1606	3991
287	1612	3986
288	1618	3981
289	1624	3977
290	1629	3970
291	1634	3962
292	1640	3957
293	1644	3948
294	1648	3939
295	1652	3930
296	1657	3923
297	1661	3914
298	1665	3904
299	1669	3896
300	1674	3888
301	1678	3879
302	1682	3870
303	1687	3862
304	1691	3854
305	1695	3846
306	1700	3837
307	1705	3831
308	1709	3823
309	1714	3815
310	1718	3807
311	1723	3799
312	1727	3791
313	1731	3783
314	1736	3775
315	1740	3767
316	1744	3758
317	1748	3750
318	1753	3744
319	1758	3736
320	1763	3729
321	1768	3722
322	1773	3717
323	1778	3709
324	1783	3704
325	1788	3697
326	1793	3690
327	1798	3683
328	1803	3678
329	1808	3670
330	1812	3663
331	1817	3657
332	1822	3650
333	1827	3643
334	1832	3638
335	1836	3630
336	1840	3621
337	1845	3614
338	1850	3607
339	1854	3599
340	1858	3591
341	1864	3586
342	1868	3579
343	1872	3571
344	1877	3563
345	1881	3557
346	1886	3549
347	1891	3542
348	1895	3535
349	1900	3528
350	1904	3521
351	1909	3515
352	1914	3508
353	1918	3501
354	1922	3493
355	1927	3486
356	1931	3479
357	1936	3471
358	1940	3464
359	1944	3457
360	1948	3449
361	1953	3442
362	1957	3435
363	1962	3428
364	1967	3422
365	1972	3416
366	1976	3409
367	1981	3402
368	1985	3395
369	1989	3388
370	1994	3381
371	1999	3375
372	2003	3368
373	2007	3360
374	2012	3354
375	2016	3347
376	2020	3339
377	2025	3332
378	2029	3325
379	2034	3318
380	2038	3311
381	2043	3306
382	2047	3299
383	2052	3292
384	2056	3285
385	2062	3280
386	2066	3272
387	2070	3266
388	2075	3259
389	2079	3252
390	2083	3245
391	2087	3238
392	2092	3232
393	2097	3225
394	2101	3218
395	2105	3212
396	2110	3205
397	2115	3199
398	2119	3192
399	2123	3185
400	2128	3178
401	2132	3172
402	2136	3165
403	2141	3159
404	2146	3153
405	2150	3146
406	2155	3141
407	2160	3134
408	2164	3127
409	2169	3121
410	2173	3115
411	2179	3110
412	2183	3103
413	2188	3097
414	2193	3091
415	2197	3085
416	2202	3079
417	2207	3073
418	2212	3067
419	2216	3061
420	2222	3056
421	2227	3050
422	2232	3044
423	2238	3040
424	2243	3034
425	2247	3028
426	2253	3023
427	2257	3017
428	2262	3011
429	2267	3005
430	2272	3000
431	2276	2993
432	2280	2986
433	2285	2980
434	2290	2974
435	2294	2967
436	2299	2962
437	2303	2955
438	2307	2949
439	2312	2942
440	2317	2937
441	2321	2930
442	2325	2924
443	2329	2917
444	2334	2911
445	2338	2905
446	2343	2898
447	2347	2892
448	2352	2886
449	2356	2879
450	2360	2873
451	2364	2867
